"lon","lat","dir","lbl"
-175,80,"°N","80°N"
-175,70,"°N","70°N"
-175,60,"°N","60°N"
-175,50,"°N","50°N"
-175,40,"°N","40°N"
-175,30,"°N","30°N"
-175,20,"°N","20°N"
-175,10,"°N","10°N"
-175,0,"","0"
-175,-10,"°S","10°S"
-175,-20,"°S","20°S"
-175,-30,"°S","30°S"
-175,-40,"°S","40°S"
-175,-50,"°S","50°S"
-175,-60,"°S","60°S"
-175,-70,"°S","70°S"
-175,-80,"°S","80°S"
175,80,"°N","80°N"
175,70,"°N","70°N"
175,60,"°N","60°N"
175,50,"°N","50°N"
175,40,"°N","40°N"
175,30,"°N","30°N"
175,20,"°N","20°N"
175,10,"°N","10°N"
175,0,"","0"
175,-10,"°S","10°S"
175,-20,"°S","20°S"
175,-30,"°S","30°S"
175,-40,"°S","40°S"
175,-50,"°S","50°S"
175,-60,"°S","60°S"
175,-70,"°S","70°S"
175,-80,"°S","80°S"
